"","options","question_id","question_text","data_type"
"16","[1]0-10%, [2]11-25%, [3]26-50%, [4]51-75%, [5]76-100%, ","working","alone working","Activity"
"17","[1]0-10%, [2]11-25%, [3]26-50%, [4]51-75%, [5]76-100%, ","relaxing","alone relaxing","Activity"
"18","[1]0-10%, [2]11-25%, [3]26-50%, [4]51-75%, [5]76-100%, ","other_working","with other people working","Activity"
"19","[1]0-10%, [2]11-25%, [3]26-50%, [4]51-75%, [5]76-100%, ","other_relaxing","with other people relaxing","Activity"
"20","","location","location","Activity"
"93","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","empathic","Do you feel empathic at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"94","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","appreciative","Do you feel appreciative at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"95","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","proud","Do you feel proud at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"96","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","disappointed","Do you feel disappointed at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"97","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","angry","Do you feel angry at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"98","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","saddened","Do you feel saddened at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"99","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","frustrated","Do you feel frustrated at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"100","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","apathetic","Do you feel apathetic at all about the administration's response to the events following the Dimensions protest?","Administration's response"
"101","","location","","Administration's response"
"21","(Not at all) 1 2 3 4 5 (Extremely)","enthusiastic","In the past 15 minutes, I was extraverted, enthusiastic.                (Scale: 1=Not at all; 2=A little; 3=somewhat; 4=very; 5=extremely)","Behavior"
"22","(Not at all) 1 2 3 4 5 (Extremely)","critical","......, I was critical, quarrelsome.","Behavior"
"23","(Not at all) 1 2 3 4 5 (Extremely)","dependable","......, I was dependable, self-disciplined.","Behavior"
"24","(Not at all) 1 2 3 4 5 (Extremely)","anxious","......, I was anxious, easily upset.","Behavior"
"25","(Not at all) 1 2 3 4 5 (Extremely)","experiences","......, I was open to new experiences, complex.","Behavior"
"26","(Not at all) 1 2 3 4 5 (Extremely)","reserved","......, I was reserved, quiet.","Behavior"
"27","(Not at all) 1 2 3 4 5 (Extremely)","sympathetic","......, I was sympathetic, warm.","Behavior"
"28","(Not at all) 1 2 3 4 5 (Extremely)","disorganized","......,  I was disorganized, careless.","Behavior"
"29","(Not at all) 1 2 3 4 5 (Extremely)","calm","......, I was calm, emotionally stable.","Behavior"
"30","(Not at all) 1 2 3 4 5 (Extremely)","conventional","......, I was conventional, uncreative.","Behavior"
"31","","location","location","Behavior"
"49","[1]sadness, [2]anger, [3]fear, [4]apprehension, [5]empathy for the victims, ","boston","How did you feel when you first heard the news about the Boston bombing?","Boston Bombing"
"50","","location","","Boston Bombing"
"76","","words","In your own words, describe what you feel about today's canceled classes.","Cancelled Classes"
"77","","location","","Cancelled Classes"
"3","","course_id","What's the class name? (e.g., CS65)","Class"
"4","[1]neutral, [2]strongly agree, [3]agree, [4]disagree, [5]strongly disagree, ","experience","I enjoyed the class today.","Class"
"5","[1]0, [2]1, [3]2, [4]3, [5]4, [6]5, [7]6, [8]7, [9]8, [10]9, [11]10, [12]>10, ","hours","How many hours did you spent on coursework outside class since the last class?","Class"
"6","(Yes) 1 2 (No)","due","Do you have an assignment (due), quizz or exam today?","Class"
"7","","location","","Class"
"89","[1]Agree Strongly, [2]Agree Moderately, [3]Agree Slightly, [4]Disagree Slightly , [5]Disagree Moderately, [6]Disagree Strongly, ","challenge","Last week's lab was difficult and challenged me.","Class 2"
"90","[1]Agree Strongly, [2]Agree Moderately, [3]Agree Slightly, [4]Disagree Slightly , [5]Disagree Moderately, [6]Disagree Strongly, ","effort","I put a great deal of effort into the course last week.","Class 2"
"91","[1]A, [2]A-, [3]B+, [4]B, [5]B-, [6]C+, [7]C, [8]C-, ","grade","I expect to get the following grade for this course.","Class 2"
"92","","location","","Class 2"
"8","","comment","What is on your mind today?","Comment"
"9","","location","","Comment"
"53","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","empathic","Do you feel empathic at all about Dartmouth right now, given recent events?","Dartmouth now"
"54","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","appreciative","Do you feel appreciative at all about Dartmouth right now, given recent events?","Dartmouth now"
"55","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","proud","Do you feel proud at all about Dartmouth right now, given recent events?","Dartmouth now"
"56","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","disappointed","Do you feel disappointed at all about Dartmouth right now, given recent events?","Dartmouth now"
"57","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","angry","Do you feel angry at all about Dartmouth right now, given recent events?","Dartmouth now"
"58","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","saddened","Do you feel saddened at all about Dartmouth right now, given recent events?","Dartmouth now"
"59","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","frustrated","Do you feel frustrated at all about Dartmouth right now, given recent events?","Dartmouth now"
"60","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","apathetic","Do you feel apathetic at all about Dartmouth right now, given recent events?","Dartmouth now"
"61","","location","","Dartmouth now"
"51","","describe","In your own words, how would you describe Dimensions to someone who knew nothing about it?","Dimensions"
"52","","location","","Dimensions"
"78","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","empathic","How empathic do you feel toward the Dimensions protestors?","Dimensions protestors"
"79","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","appreciative","How appreciative do you feel toward the Dimensions protestors?","Dimensions protestors"
"80","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","proud","How proud do you feel toward the Dimensions protestors?","Dimensions protestors"
"81","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","disappointed","How disappointed do you feel toward the Dimensions protestors?","Dimensions protestors"
"82","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","angry","How angry do you feel toward the Dimensions protestors?","Dimensions protestors"
"83","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","saddened","How saddened do you feel toward the Dimensions protestors?","Dimensions protestors"
"84","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","frustrated","How frustrated do you feel toward the Dimensions protestors?","Dimensions protestors"
"85","[1]Not at all, [2]Slightly, [3]Moderately, [4]Very, [5]Extremely, ","apathetic","How apathetic do you feel toward the Dimensions protestors?","Dimensions protestors"
"86","","location","","Dimensions protestors"
"62","[1]Collis, [2]Hop, [3]Foco, [4]KAF, [5]Novack, [6]East Wheelock Snack Bar, [7]Off-Campus, [8]other, ","breakfast","Yesterday, where did you eat your breakfast:","Dining Halls"
